Mon Jun 29 10:22:03 2020,mission 1
Mon Jun 29 10:22:04 2020,mission 1
Mon Jun 29 10:22:05 2020,mission 1
Mon Jun 29 10:22:06 2020,mission 1
Mon Jun 29 10:22:07 2020,mission 1
Mon Jun 29 10:22:08 2020,mission 1
Mon Jun 29 10:22:09 2020,mission 1
Mon Jun 29 10:22:10 2020,mission 1
Mon Jun 29 10:22:11 2020,mission 1
Mon Jun 29 10:22:12 2020,mission 1
Mon Jun 29 10:22:13 2020,mission 1
Mon Jun 29 10:22:14 2020,mission 1
Mon Jun 29 10:22:15 2020,mission 1
Mon Jun 29 10:22:16 2020,mission 1
Mon Jun 29 10:22:17 2020,mission 1
Mon Jun 29 10:22:18 2020,mission 1
Mon Jun 29 10:22:19 2020,mission 1
Mon Jun 29 10:22:20 2020,mission 1
Mon Jun 29 10:22:21 2020,mission 1
Mon Jun 29 10:22:22 2020,mission 1
Mon Jun 29 10:22:23 2020,mission 1
Mon Jun 29 10:22:24 2020,mission 1
Mon Jun 29 10:22:25 2020,picture0
Mon Jun 29 10:22:26 2020,mission 1
Mon Jun 29 10:22:27 2020,mission 1
Mon Jun 29 10:22:28 2020,mission 1
Mon Jun 29 10:22:29 2020,mission 1
Mon Jun 29 10:22:30 2020,mission 1
Mon Jun 29 10:22:31 2020,mission 1
Mon Jun 29 10:22:32 2020,backing
Mon Jun 29 10:22:33 2020,backing
Mon Jun 29 10:22:34 2020,backing
Mon Jun 29 10:22:35 2020,backing
Mon Jun 29 10:22:36 2020,mission 1
Mon Jun 29 10:22:37 2020,mission 1
Mon Jun 29 10:22:38 2020,mission 1
Mon Jun 29 10:22:39 2020,mission 1
Mon Jun 29 10:22:40 2020,mission 1
Mon Jun 29 10:22:41 2020,mission 1
Mon Jun 29 10:22:42 2020,mission 1
Mon Jun 29 10:22:43 2020,mission 1
Mon Jun 29 10:22:44 2020,mission 1
Mon Jun 29 10:22:45 2020,mission 1
Mon Jun 29 10:22:46 2020,mission 1
Mon Jun 29 10:22:47 2020,mission 1
Mon Jun 29 10:22:48 2020,mission 1
Mon Jun 29 10:22:49 2020,mission 1
Mon Jun 29 10:22:50 2020,mission 1
Mon Jun 29 10:22:51 2020,mission 1
Mon Jun 29 10:22:52 2020,mission 1
Mon Jun 29 10:22:53 2020,mission 1
Mon Jun 29 10:22:54 2020,mission 1
Mon Jun 29 10:22:55 2020,mission 1
Mon Jun 29 10:22:56 2020,mission 1
Mon Jun 29 10:22:57 2020,mission 1
Mon Jun 29 10:22:58 2020,mission 1
Mon Jun 29 10:22:59 2020,mission 1
Mon Jun 29 10:23:00 2020,mission 1
Mon Jun 29 10:23:01 2020,mission 1
Mon Jun 29 10:23:02 2020,mission 1
Mon Jun 29 10:23:03 2020,mission 1
Mon Jun 29 10:23:04 2020,mission 1
Mon Jun 29 10:23:05 2020,mission 1
Mon Jun 29 10:23:06 2020,mission 1
Mon Jun 29 10:23:07 2020,mission 1
Mon Jun 29 10:23:08 2020,mission 1
Mon Jun 29 10:23:09 2020,mission 1
Mon Jun 29 10:23:10 2020,mission 2
Mon Jun 29 10:23:11 2020,mission 2
Mon Jun 29 10:23:12 2020,mission 2
Mon Jun 29 10:23:13 2020,mission 2
Mon Jun 29 10:23:14 2020,mission 2
Mon Jun 29 10:23:15 2020,mission 2
Mon Jun 29 10:23:16 2020,mission 2
Mon Jun 29 10:23:17 2020,mission 2
Mon Jun 29 10:23:18 2020,mission 2
Mon Jun 29 10:23:19 2020,mission 2
Mon Jun 29 10:23:20 2020,mission 2
Mon Jun 29 10:23:22 2020,mission 2
Mon Jun 29 10:23:23 2020,mission 2
Mon Jun 29 10:23:24 2020,mission 2
Mon Jun 29 10:23:25 2020,mission 2
Mon Jun 29 10:23:26 2020,mission 2
Mon Jun 29 10:23:27 2020,mission 2
Mon Jun 29 10:23:28 2020,mission 2
Mon Jun 29 10:23:29 2020,mission 2
Mon Jun 29 10:23:30 2020,mission 2
Mon Jun 29 10:23:31 2020,mission 2
Mon Jun 29 10:23:32 2020,mission 2
Mon Jun 29 10:23:33 2020,mission 2
Mon Jun 29 10:23:34 2020,scanning
Mon Jun 29 10:23:35 2020,scanning
Mon Jun 29 10:23:36 2020,scanning
Mon Jun 29 10:23:37 2020,scanning
Mon Jun 29 10:23:38 2020,scanning
Mon Jun 29 10:23:39 2020,scanning
Mon Jun 29 10:23:40 2020,scanning
Mon Jun 29 10:23:41 2020,scanning
Mon Jun 29 10:23:42 2020,scanning
Mon Jun 29 10:23:43 2020,scanning
Mon Jun 29 10:23:44 2020,scanning
Mon Jun 29 10:23:45 2020,scanning
Mon Jun 29 10:23:46 2020,scanning
Mon Jun 29 10:23:47 2020,scanning
Mon Jun 29 10:23:48 2020,scanning
Mon Jun 29 10:23:49 2020,scanning
Mon Jun 29 10:23:50 2020,"done, find =0"
Mon Jun 29 10:23:51 2020,"done, find =0"
Mon Jun 29 10:23:52 2020,"done, find =0"
Mon Jun 29 10:23:53 2020,"done, find =0"
Mon Jun 29 10:23:54 2020,"done, find =0"
Mon Jun 29 10:23:55 2020,"done, find =0"
Mon Jun 29 10:23:56 2020,"done, find =0"
Mon Jun 29 10:23:57 2020,"done, find =0"
Mon Jun 29 10:23:58 2020,"done, find =0"
Mon Jun 29 10:23:59 2020,"done, find =0"
Mon Jun 29 10:24:00 2020,"done, find =0"
Mon Jun 29 10:24:01 2020,"done, find =0"
Mon Jun 29 10:24:02 2020,"done, find =0"
Mon Jun 29 10:24:03 2020,"done, find =0"
Mon Jun 29 10:24:04 2020,"done, find =0"
Mon Jun 29 10:24:05 2020,"done, find =0"
Mon Jun 29 10:24:06 2020,"done, find =0"
Mon Jun 29 10:24:07 2020,"done, find =0"
Mon Jun 29 10:24:08 2020,"done, find =0"
Mon Jun 29 10:24:09 2020,"done, find =0"
Mon Jun 29 10:24:10 2020,"done, find =0"
